Label,precision,recall,f1-score,support
cab,1.0,1.0,1.0,8.0
cak,1.0,1.0,1.0,12.0
cat,1.0,1.0,1.0,11.0
cbk,1.0,0.8571428571428571,0.9230769230769232,14.0
ceb,0.7777777777777778,0.875,0.8235294117647058,8.0
ces,1.0,0.8333333333333334,0.9090909090909092,12.0
che,1.0,1.0,1.0,12.0
chk,1.0,1.0,1.0,16.0
chv,1.0,1.0,1.0,12.0
cjk,1.0,1.0,1.0,20.0
ckb,0.6153846153846154,0.6666666666666666,0.64,12.0
cmn,0.7894736842105263,1.0,0.8823529411764706,15.0
cos,0.3333333333333333,0.5,0.4,8.0
crh,0.9090909090909092,0.9523809523809524,0.9302325581395348,21.0
crs,0.0,0.0,0.0,1.0
csb,1.0,0.9166666666666666,0.9565217391304348,12.0
csy,0.9473684210526316,1.0,0.972972972972973,18.0
ctu,1.0,0.9090909090909092,0.9523809523809524,11.0
cuk,1.0,1.0,1.0,14.0
cym,0.9473684210526316,0.8571428571428571,0.9,21.0
dan,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
deu,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
diq,0.9230769230769232,0.9230769230769232,0.9230769230769232,13.0
div,0.8571428571428571,0.6,0.7058823529411765,10.0
djk,1.0,1.0,1.0,11.0
dtp,0.9285714285714286,1.0,0.9629629629629628,13.0
dyu,0.9411764705882352,1.0,0.9696969696969696,16.0
dzo,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
ekk,0.9,0.9,0.9,10.0
ell,1.0,1.0,1.0,13.0
eml,1.0,0.95,0.9743589743589745,20.0
eng,0.52,0.8666666666666667,0.65,15.0
enm,0.0,0.0,0.0,0.0
epo,1.0,1.0,1.0,15.0
est,0.9090909090909092,0.9090909090909092,0.9090909090909092,11.0
eus,1.0,1.0,1.0,15.0
ewe,0.9230769230769232,1.0,0.96,12.0
ext,0.9411764705882352,0.9411764705882352,0.9411764705882352,17.0
fao,1.0,1.0,1.0,14.0
fas,0.8181818181818182,0.6923076923076923,0.75,13.0
fij,1.0,1.0,1.0,13.0
fil,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
fin,1.0,0.9090909090909092,0.9523809523809524,11.0
fon,0.9285714285714286,1.0,0.9629629629629628,13.0
fra,0.6923076923076923,0.8181818181818182,0.75,11.0
frr,0.9166666666666666,1.0,0.9565217391304348,11.0
fry,1.0,0.8181818181818182,0.9,22.0
ful,0.6666666666666666,1.0,0.8,10.0
fur,1.0,1.0,1.0,6.0
gaa,0.0,0.0,0.0,1.0
gcf,0.8,1.0,0.8888888888888888,4.0
gla,1.0,0.7333333333333333,0.8461538461538461,15.0
gle,0.9166666666666666,1.0,0.9565217391304348,11.0
glg,0.9166666666666666,0.8461538461538461,0.88,13.0
glk,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
glv,0.96,1.0,0.979591836734694,24.0
gom,0.925925925925926,0.925925925925926,0.925925925925926,27.0
gor,1.0,0.8823529411764706,0.9375,17.0
grc,1.0,1.0,1.0,9.0
grn,1.0,0.9,0.9473684210526316,10.0
gsw,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
guc,1.0,1.0,1.0,22.0
gug,1.0,1.0,1.0,12.0
guj,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
gym,1.0,1.0,1.0,13.0
hat,0.8125,0.7647058823529411,0.7878787878787878,17.0
hau,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
haw,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
hbo,1.0,1.0,1.0,1.0
hbs,0.7727272727272727,0.7391304347826086,0.7555555555555555,23.0
heb,1.0,0.9090909090909092,0.9523809523809524,11.0
hif,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
hil,1.0,1.0,1.0,2.0
hin,0.696969696969697,0.71875,0.7076923076923077,32.0
hmn,0.9,0.8181818181818182,0.8571428571428571,11.0
hmo,1.0,1.0,1.0,23.0
hne,1.0,1.0,1.0,14.0
hrv,0.5555555555555556,0.4166666666666667,0.4761904761904761,12.0
hrx,1.0,1.0,1.0,3.0
hsb,0.8571428571428571,0.9230769230769232,0.8888888888888888,13.0
hui,1.0,1.0,1.0,11.0
hun,1.0,1.0,1.0,16.0
hus,1.0,1.0,1.0,21.0
hye,0.9523809523809524,1.0,0.975609756097561,20.0
hyw,0.0,0.0,0.0,1.0
ibo,0.8181818181818182,0.9,0.8571428571428571,10.0
ido,1.0,1.0,1.0,16.0
ikk,1.0,1.0,1.0,14.0
iku,0.6666666666666666,0.9090909090909092,0.7692307692307693,11.0
ile,0.8823529411764706,1.0,0.9375,15.0
ilo,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
ina,0.6666666666666666,0.625,0.6451612903225806,16.0
ind,0.6,0.4736842105263157,0.5294117647058824,19.0
isl,1.0,0.9090909090909092,0.9523809523809524,11.0
ita,0.8571428571428571,0.9230769230769232,0.8888888888888888,13.0
ixl,1.0,1.0,1.0,16.0
jam,0.95,1.0,0.9743589743589745,19.0
jav,0.8823529411764706,1.0,0.9375,15.0
jbo,0.8235294117647058,1.0,0.9032258064516128,14.0
jpn,0.9444444444444444,1.0,0.9714285714285714,17.0
kaa,0.9444444444444444,0.9444444444444444,0.9444444444444444,36.0
kab,0.7,0.7777777777777778,0.7368421052631579,9.0
kac,1.0,1.0,1.0,13.0
kal,1.0,1.0,1.0,16.0
kam,1.0,1.0,1.0,11.0
kan,1.0,1.0,1.0,12.0
kat,0.84375,0.9642857142857144,0.9,28.0
kaz,1.0,0.9285714285714286,0.9629629629629628,14.0
kbd,1.0,0.9285714285714286,0.9629629629629628,14.0
kbp,1.0,1.0,1.0,12.0
kea,1.0,0.8333333333333334,0.9090909090909092,12.0
kek,1.0,1.0,1.0,11.0
khm,1.0,1.0,1.0,13.0
kik,0.8461538461538461,0.9166666666666666,0.88,12.0
kin,0.3,0.3333333333333333,0.3157894736842105,9.0
kir,1.0,1.0,1.0,16.0
kjb,1.0,1.0,1.0,9.0
kjh,1.0,0.9090909090909092,0.9523809523809524,11.0
kmb,0.9375,1.0,0.967741935483871,15.0
kmr,0.8823529411764706,1.0,0.9375,15.0
knv,1.0,1.0,1.0,13.0
kom,1.0,1.0,1.0,14.0
kon,0.9333333333333332,1.0,0.9655172413793104,14.0
kor,1.0,1.0,1.0,12.0
kos,1.0,1.0,1.0,19.0
kpg,1.0,1.0,1.0,16.0
krc,0.8235294117647058,0.9333333333333332,0.875,15.0
ksd,1.0,1.0,1.0,10.0
ksh,0.9166666666666666,1.0,0.9565217391304348,11.0
kur,0.8620689655172413,0.78125,0.819672131147541,32.0
lao,1.0,1.0,1.0,12.0
lat,0.75,1.0,0.8571428571428571,9.0
lfn,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
lhu,1.0,1.0,1.0,4.0
lij,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
lim,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
lin,1.0,0.875,0.9333333333333332,16.0
lit,0.9090909090909092,1.0,0.9523809523809524,10.0
lmo,0.75,0.9375,0.8333333333333334,16.0
ltz,0.5333333333333333,0.6666666666666666,0.5925925925925926,12.0
lua,1.0,1.0,1.0,13.0
lug,1.0,0.9166666666666666,0.9565217391304348,12.0
luo,0.8888888888888888,1.0,0.9411764705882352,8.0
lus,1.0,0.9523809523809524,0.975609756097561,21.0
lvs,1.0,0.8571428571428571,0.9230769230769232,7.0
lzh,0.9333333333333332,0.875,0.9032258064516128,16.0
mad,0.4545454545454545,0.6666666666666666,0.5405405405405406,15.0
mah,1.0,1.0,1.0,1.0
mai,0.8666666666666667,1.0,0.9285714285714286,13.0
mal,1.0,1.0,1.0,14.0
mam,0.9411764705882352,1.0,0.9696969696969696,16.0
mar,1.0,0.9090909090909092,0.9523809523809524,11.0
mau,1.0,1.0,1.0,13.0
mco,1.0,1.0,1.0,15.0
meu,1.0,1.0,1.0,16.0
mgh,1.0,1.0,1.0,10.0
mhr,0.9090909090909092,0.8333333333333334,0.8695652173913043,12.0
min,1.0,0.8181818181818182,0.9,11.0
mkd,1.0,1.0,1.0,14.0
mlg,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
mlt,1.0,0.7857142857142857,0.88,14.0
mon,0.9444444444444444,1.0,0.9714285714285714,17.0
mos,1.0,1.0,1.0,13.0
mps,1.0,1.0,1.0,10.0
mri,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
msa,0.5833333333333334,0.5,0.5384615384615384,14.0
mwl,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
mya,1.0,1.0,1.0,11.0
myv,0.8666666666666667,0.8125,0.8387096774193549,16.0
mzh,1.0,1.0,1.0,20.0
mzn,0.9230769230769232,1.0,0.96,12.0
nap,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
naq,1.0,1.0,1.0,14.0
nav,1.0,1.0,1.0,6.0
nbl,0.6428571428571429,0.75,0.6923076923076923,12.0
nch,1.0,1.0,1.0,11.0
ncj,1.0,1.0,1.0,10.0
nde,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
ndo,1.0,1.0,1.0,11.0
nds,0.9375,0.9375,0.9375,16.0
nep,1.0,1.0,1.0,9.0
new,1.0,1.0,1.0,10.0
ngu,1.0,1.0,1.0,16.0
nld,0.7894736842105263,0.9375,0.8571428571428571,16.0
nnb,0.875,1.0,0.9333333333333332,7.0
nno,1.0,0.75,0.8571428571428571,12.0
nob,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
nor,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
npi,1.0,1.0,1.0,4.0
nso,1.0,1.0,1.0,8.0
nya,0.8,0.6956521739130435,0.7441860465116279,23.0
nyu,0.9285714285714286,1.0,0.9629629629629628,13.0
oci,0.8125,0.8666666666666667,0.8387096774193549,15.0
ori,0.9090909090909092,1.0,0.9523809523809524,10.0
orm,1.0,1.0,1.0,7.0
ory,1.0,0.9375,0.967741935483871,16.0
oss,0.8666666666666667,1.0,0.9285714285714286,13.0
ote,1.0,1.0,1.0,13.0
pag,0.9285714285714286,0.8125,0.8666666666666667,16.0
pam,0.5,0.6666666666666666,0.5714285714285714,9.0
pan,1.0,1.0,1.0,8.0
pap,1.0,1.0,1.0,17.0
pcd,1.0,0.8888888888888888,0.9411764705882352,9.0
pcm,1.0,0.9285714285714286,0.9629629629629628,14.0
pes,0.5,0.7777777777777778,0.6086956521739131,9.0
pfl,1.0,0.8571428571428571,0.9230769230769232,7.0
pis,1.0,0.8333333333333334,0.9090909090909092,6.0
pls,1.0,1.0,1.0,13.0
plt,0.9444444444444444,1.0,0.9714285714285714,17.0
pms,1.0,1.0,1.0,12.0
pnb,1.0,1.0,1.0,12.0
poh,1.0,1.0,1.0,13.0
pol,0.95,1.0,0.9743589743589745,19.0
pon,1.0,1.0,1.0,8.0
por,0.8,0.9230769230769232,0.8571428571428571,13.0
prs,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0
pus,1.0,0.8333333333333334,0.9090909090909092,12.0
qub,1.0,1.0,1.0,3.0
quc,1.0,1.0,1.0,15.0
que,0.8,0.75,0.7741935483870968,16.0
quh,1.0,1.0,1.0,13.0
quw,0.9411764705882352,1.0,0.9696969696969696,16.0
quy,1.0,1.0,1.0,15.0
qvi,1.0,1.0,1.0,13.0
rap,1.0,0.8571428571428571,0.9230769230769232,7.0
rmy,0.8571428571428571,0.6666666666666666,0.75,9.0
roh,0.9230769230769232,1.0,0.96,12.0
ron,0.9375,0.9375,0.9375,16.0
rop,1.0,1.0,1.0,7.0
rue,0.9285714285714286,1.0,0.9629629629629628,13.0
rug,1.0,1.0,1.0,11.0
run,0.4666666666666667,0.6363636363636364,0.5384615384615384,11.0
sag,1.0,1.0,1.0,14.0
sah,1.0,1.0,1.0,11.0
san,1.0,0.8125,0.896551724137931,16.0
sat,1.0,0.9333333333333332,0.9655172413793104,15.0
scn,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
sco,0.7,0.5,0.5833333333333334,14.0
seh,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
sgs,1.0,0.8666666666666667,0.9285714285714286,15.0
sin,1.0,1.0,1.0,15.0
